"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
1,12,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
1,12,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
1,13,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,0
1,13,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,0
1,18,2,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
1,21,1,1,0,0,NA,0,0,0,0,0,0,0,NA,0,1,1
1,24,1,1,1,1,NA,0,0,0,1,0,1,0,0,1,1,1
1,25,1,1,NA,0,1,0,0,0,1,0,1,0,NA,1,1,NA
1,25,1,1,NA,0,1,0,0,0,1,0,1,0,NA,1,1,NA
1,8,2,1,0,0,1,0,0,1,0,0,0,0,NA,1,1,NA
1,8,2,1,NA,0,1,0,0,1,0,0,0,0,NA,1,1,NA
10,11,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
10,13,2,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,NA
10,17,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
10,17,4,1,0,1,NA,0,0,1,0,0,0,0,0,1,1,1
10,2,4,1,1,1,NA,0,0,0,0,0,0,0,0,1,1,NA
10,2,4,1,1,1,0,0,0,0,0,0,0,0,1,1,1,NA
10,2,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
10,2,4,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
10,4,2,1,NA,1,1,0,1,1,0,0,0,0,NA,1,1,1
10,4,2,1,1,1,1,0,1,1,0,0,0,0,NA,1,1,1
10,4,2,1,0,1,1,0,1,1,0,0,0,0,NA,1,1,1
10,6,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
10,8,4,1,0,1,NA,0,0,1,0,0,0,0,0,1,1,NA
10,9,2,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
10,9,2,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
11,11,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
11,13,2,1,NA,1,1,0,0,0,0,0,0,0,0,1,1,0
11,15,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
11,20,2,1,0,1,NA,0,0,0,0,0,0,0,1,1,1,1
11,3,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,0
12,12,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
12,14,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
12,14,2,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
12,3,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,1
12,6,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA
12,6,4,1,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
12,9,4,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
13,14,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
